text,label
物流很给力 很快 包装完好 很好的宝贝 跟店家描述的一样 质量不错 买家服务态度也很好 很喜欢 ,1.0
只能说一般，图像不够清楚，声音太小了，调试了好久，还是不好，八十大洋不值！,1.0
打起电筒看了半天，没找到商品编码，担心不是正品,1.0
超赞的书，物流超级给力，双十一都到货这么快，太赞了,1.0
"酒店的设施完全配得上四星了,环境干净整洁,就是游泳池在室外的,不开放.该酒店是缙云最好的酒店了,去仙都游玩的朋友应该首选此酒店.",1.0
外观很靓！配置也很均衡！我是自提的，认为性价比还是很高的！装系统也不是那么麻烦！硬盘改为IDE模式，再选择光驱优先启动。然后就可以自动装系统分区了！,1.0
251页到267页内容缺失，换成了239页-246页再来一遍。太不爽了。图书内容随便看看还可以，史书这样写看起来不错。一句话：可以看但不值得收藏的书，指的可能就是这样的书。,0.0
衣服质量不错，发货速度也很快，卖家服务相当到位,1.0
这么长时间才来评价，我司机台下的都开会脱丝了，一般一般吧,1.0
谁买谁知道，一分都不想给，买两套，网页上说4.5寸的饭碗6个，6.5寸的饭碗也是6个，实际收到货，4.5寸的8个，6.5寸的只两个了，倒是勺子味碟什么的小件数量变多了，同样是叫38头，问题是我要那么多勺子味碟干嘛？大家看图片吧，坚决去投诉，虚假宣传，欺诈！问客服，能否按网页上的标准，少了的补给我，多了的我也不要，邮回给店家，也不同意，就回了一句，你退货吧，太坑了，耽误我时间，都要搬家了，而且我双12活动买的，这中间的损失也不管。,0.0
这次住的是豪华间，在19楼的，是最好的（？）。但是进入后发现：房间只有8-10o平方米，而且是将原来的一个客房分割为两个的。窗是两件共用的，只有一半大，而且这样就没有什么隔音可言了。房间十分的拥挤，简陋。水要放15分钟才会热起来。空调的温度不能自己控制的。非常无理的220元价格！讯问服务员是否都是这样的房间，回答说都是，而且传家商旅的酒店房间都是这样的！不喜欢有套间可以去住呀，那个大！ 结帐时我想换成借记卡来结算，回答说原来的授权没有办法取消，只能用扣款来完成。但是扣下的款不能还给我！说是他们没有办法做帐！传家咋象黑店一样啊！ 罢了，罢了！我原来是想将传家作为我的常住酒店的，谢谢啦！只是上了一晚的当，买了一个明白。还是值得的。 我很开心地将传家从我的常住酒店名单中删除了：）同时我也建议了携程也将这个店从酒店中删除。 补充点评 2007年1月24日 ： 补充一点：这个19楼的床很矮，感觉像睡在地上一样。床也非常旧了。睡上去象是掉进坑里的感觉。,0.0
看上去还不错，儿子吃了啦肚子,1.0
非常不满意，气味很大，没有冲气筒，买回来没法用,1.0
这鞋真垃圾，我刚下完单过了一天，说降价促销，问售后，态度超级差，过两天又恢复原价，这什么破店，样子真难看，跟图片差距太大，太垃圾了,0.0
感觉不像真的，很薄，穿起来没有之前在三夫买的好,1.0
虽然是第三方，但是物流业很快,1.0
小小的，很适合孩子玩，刚拿到女儿说很简单，三两下给拧乱了，她却没有办法恢复，正努力中。。。,1.0
长篇小说《红旗谱诤《播火记》《烽烟图》是著名作家梁斌的红色经典三部曲。作品通过冀中平原朱、严两家三代农民和冯家两代地主近半个世纪的尖锐矛盾斗争，成功塑造了一大批栩栩如生的艺术形象；热情讴歌了中国人民在共产党的领导下，反抗压迫，争取自由幸福的伟大历程和艰苦卓绝、不屈不挠的精神风貌；史诗般地描绘了一幅中国农村革命运动的壮丽画卷。\n《播火记（共3册）》第一册讲述了： 严萍在万顺老店掌柜的帮助下，逃离了保定，来 到锁井镇，并与春兰结识。\n     珍儿娘死时，把女儿托付给贵他娘。李德才在冯 大奶奶的逼迫下，卖掉了亲生女儿珍儿。大贵为保护 珍儿，把李德才扔进黑水潭，冯老兰图谋报复。朱老 忠为避锋芒，劝珍儿暂时先去了冯家。\n     贾湘农接到县委的命令，在滹沱河两岸发动农民 ，准备开展武装暴动。与此同时，冯贵堂也为成立民 团，拉拢到了特务队长张福奎。\n     伤愈的张嘉庆接受了贾湘农分配的任务，前往白 洋淀，争取绿林好汉李霜泗。一番推心置腹的畅谈后 ，张嘉庆与李霜泗结为生死之交。李霜泗决心跟着共 产党闹革命。\n     李霜泗骂跑了前来游说的冯家护院老山头，并决 定进城刺杀仇人张福奎。李霜泗之女芝儿执意与父同 行。\n     进城的当晚，芝儿大闹戏楼，朝张福奎连开三枪 &hellip;&hellip; 《播火记（共3册）》第二册讲述了： 锁井镇人民的斗争情绪日益高涨。经贾湘农提议 ，朱老忠当了滹沱河的红军大队长。在武装暴动决策 会上，朱老忠结识了高蠡中心县委书记宋洛曙。\n     武装暴动在滹沱河沿岸如火如荼地准备着。为了 解决武器弹药问题，朱老忠等人智取大竹镇警察局。\n    冯家得知了农民准备暴动的消息，冯贵堂联络陈贯群 商议对策，冯老兰誓要顽抗到底。\n     锁井镇的武装运动轰轰烈烈地开始了。朱老忠宣 布成立河北红军游击队第四大队，他率领队伍攻打冯 家大院。经过一番激烈的战斗，朱老忠生擒了恶贯满 盈的冯老兰，冯贵堂侥幸逃脱。\n     红军将冯家的钱粮分发给老百姓，又烧了冯家霸 占土地的红契文书。不久，朱老忠率领红军告别了家 乡父老，开赴高蠡地区，准备开展游击战争。\n     《播火记（共3册）》第三册讲述了： 朱老忠率领游击队与贾湘农等其他几路红军会合 ，全军前往辛庄集中整训。\n     逃至县城的冯贵堂把农民暴动的消息告诉了王楷 第；陈贯群纠集重兵，准备&ldquo;围剿&rdquo;红军。同时，冯 贵堂还得到了一个惊人的消息：张福奎并没有死&hellip;&hellip; 春兰和严萍冒险来到辛庄，报告了敌人的动向， 贾湘农紧急部署。敌我双方在辛庄展开殊死较量，张 嘉庆、李霜泗等也赶来加入战斗。紧急时刻，贾湘农 击毙了冯老兰。由于力量悬殊等诸多原因，&ldquo;高蠡暴 动&rdquo;最终失败。红军伤亡巨大，无数革命者献出了宝 贵的生命。\n     贾湘农奔赴白洋淀。为保存革命的火种，临别之 时，朱老忠接受贾湘农的命令，率领队伍回到锁井镇 。此时，卷土重来的冯贵堂正在展开疯狂报复，朱老 星惨死在敌人的屠刀之下。朱老忠决定让大贵拉着游 击队上太行山，自己要与敌人展开更为艰苦的地下斗 争。,1.0
快递收到了，包装盒很精致很美很高端，戴上去挺好看的，质量OK啊，店家态也度很好，很耐心，物流也不错蛮快的，很开心。大赞店家！棒棒哒！,1.0
"酒店太旧了,中午进房的时候吓了一跳,晚上进屋就好多了.因为灯光昏暗的关系. 第一次住经济型酒店,搞得感觉很不好.不过床还是蛮干净的,淋浴的水也很大,这个价钱在北京也只能住这酒店了!",0.0
"各类休闲娱乐设施齐全，交通便利，饭菜口味多样。总体感觉：舒适 免费注册 网站导航 宾馆索引 服务说明 关于携程 诚聘英才 代理合作 广告业务 联系我们 Copyright1999-2008, ctrip.com. all rights reserved.",1.0
本来是以为是DVD格式的，没想到不是&hellip;&hellip;浪费啊,0.0
颜色不好看，质量差。,0.0
看到众网友的评论，带着忐忑的心情入住了此酒店，入住后，我想客观的为它平反一下，让好的东西大家一起分享：）嘉峪关是个很小的城市，这家酒店大概是这个城市最好的酒店了。最令我满意的酒店的免费接机服务，毕竟来到一个相对陌生的环境，能有人接待让人有一种安全感。酒店的门童和服务员都很热情，嘉峪关相对于广东真的很冷，不过酒店很暖和。房间比较舒适，而且很干净，嘉峪关天气比较干燥，房间竟然配了加湿器，这一点比较人性化，充分考虑到了我们这些南方生活的人。关于早餐，我觉得很好呀，品种比较多，楼上的说开到九点，可我那天去的九点多了，还有的吃哦。看到楼上的数落，我禁不住为它说几句，嘿嘿或许服务仍然有提高的空间，但勿庸置疑，这样的城市是没办法和北京上海这样的大城市比的，我想他们朴实的热情已经填补了他们硬件上些许的缺憾，毕竟西北大家都很清楚。如果再来这里我会选择在这里住，也会介绍我的朋友在这里，^_^，客观不客观，还是自己试试才知道的，这是我的经验^_^，如果去嘉峪关，记得吃羊肉串，挺不错的，还便宜，去城楼看看，蛮有意思，这是提外话了^_^,1.0
小说叙述王莽篡汉及赤眉、绿林等豪杰反莽起义，光武帝刘秀统一天下，恢复大汉江山的故事，其中刘玄、刘秀及邓禹铫期等&ldquo;二十八宿&rdquo;都是家喻户晓的人物。 《西汉演义》，时代钟山居士甄伟演义。小说主要叙述秦始皇统一天下后，项羽刘邦反秦暴政及灭秦后楚汉相争的故事。描绘了项羽、刘邦、张良、韩信 等一大批历史人物的形象。 本书最早的版本是明万历年间金陵周氏大业堂刊本。而最有名的版本为 明末《剑啸阁批评东西汉通俗演义》，该本除收甄伟《西汉演义》外，还收了金川 西湖谢诏编集的《东汉演义》。《东汉演义》共十卷一百四十六回，剑啸阁收入时 有删节，删节后为一百二十五回。,1.0
之前看过电视剧《双面胶〉，所以买了《蜗居〉回来看，一口气读完后，感慨为什么是悲剧结尾。在读大学的时候，我总是认为世界上只有黑色和白色。步入社会后，发现更多的地带是灰色。小说中的宋，除了已婚的家庭背景，和海藻是那么般配。海藻也在宋的呵护下，充分满足精神上和物质上的满足。虽然小贝的离去让人失望，但本以为能以大欢喜结尾，但道德上告诉我们情妇总是不能欢喜得过一辈子。期待电视剧版的《蜗居〉,1.0
一般，不太好用，还有游戏,0.0
装系统比较麻烦 还好有许多网友的经验才顺利完成 希望京东能提供驱动碟不用我们自己去下载,0.0
挺好的，质量和服务都蛮好,1.0
第三方卖家不给送到家！还要自己花钱去取！出问题了也不管！要求退货还要自己付快递钱！问客服，客服说话也让人不疼不痒的！真的很生气！原本正价买的东西，还要自己付钱搬回家！其实只是卖家想自己省钱！为了省物流钱！希望大家慎重,0.0
太薄了，尺码大！问了客服还是穿不了！,0.0
裤子收到了，试穿后很满意。大小合适&nbsp;　,1.0
实在看不懂的房价，房间较干净，但是象是临时房一样，几乎没有隔音，昆山的酒店价格太离谱了！,0.0
与在实体店所买的包装相同，洗颜霜完全不同,0.0
質量不算好，偏小,1.0
有一股中药味。                          ,1.0
价格有一点贵，给朋友买的，朋友高兴就行，上网，也不做三维、CAD，不要求速度，能上网就行，玩个QQ、QQ聊个天，玩玩小游戏，足够了。,1.0
有比较才知道酒店的好，难怪外国友人超多选这里。是临时从别的酒店调整过来，因为订不到。房间好像新装修了，除了略偏小一点，色调和成新都很有感觉，尤其是增加了细节的注意：比如桌面的文具，储藏室的雨具等。一如既往的免费牛奶，入住当天还有果盘。座八楼的服务人员每次出入都有亲切的问候，电梯口的小点心也很周到。还有免费的报纸和上网电脑。周边餐馆多，打车也很方便。将成为我的常驻酒店,1.0
小人国制造的，当笔筒用吧,0.0
第一次贴后屏就碎了,0.0
"了二次房间,第一间在洗地毯(前台竟然不知!!??),第二间房门不用钥匙就能开,到第三间己经不是预定的大床房....窗外还有一个蜘蛛在结网",0.0
小孩子喜欢，书纸质感很好。,1.0
质量不怎样.穿了三天轻轻一刮就破了.好像布料有点发霉了.肯定是库存太久的货,0.0
来的时候鞋子都是大1~2码，从新下单，过几天他又给你送回来了，真心坑，虽然态度还行，问题是有种被忽悠的感觉。。。,0.0
1 跟我以前的ibmx31 比起来键盘键要松，但好像更容易敲 更省力 2 随机的vista也不错啊 习惯就好啦 3 感觉很好 ibm的风范 联想的特点 中国人的胜利 4 大气 配置合理 高清 视频音频均很出色 5 京东的送货的小伙子很可爱 建议给他们加工资,1.0
